time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6285,-0.053680,0.000488,1.035048,0.350000,-0.770000,0.840000
6410,-0.049776,0.001464,1.038464,0.420000,-0.770000,0.770000
6584,-0.051728,0.001464,1.041392,0.560000,-0.770000,0.770000
6704,-0.049776,-0.000488,1.034072,0.490000,-0.910000,0.770000
6831,-0.053192,0.001464,1.038952,0.420000,-0.770000,0.840000
6943,-0.047824,0.001952,1.035536,0.560000,-0.770000,0.700000
7102,-0.046848,0.000976,1.041392,0.420000,-0.700000,0.700000
7241,-0.051240,-0.001952,1.036512,0.420000,-0.770000,0.840000
7370,-0.047336,0.004880,1.039440,0.420000,-0.770000,0.770000
7534,-0.046848,0.000976,1.037000,0.490000,-0.840000,0.770000
7665,-0.049776,0.001464,1.038464,0.420000,-0.840000,0.770000
7785,-0.050752,0.002440,1.037000,0.420000,-0.840000,0.770000
7956,-0.049288,0.001464,1.036024,0.420000,-0.700000,0.700000
8075,-0.049776,0.004880,1.043344,0.210000,-0.840000,0.770000
8190,-0.053680,0.008296,1.031632,0.420000,-0.910000,0.840000
8384,-0.046360,-0.003416,1.040904,0.490000,-0.910000,0.630000
8508,-0.048312,-0.003416,1.037000,0.420000,-0.910000,0.770000
8635,-0.049288,0.011712,1.037976,0.210000,-0.980000,0.560000
8746,-0.050264,0.009760,1.041392,0.420000,-0.910000,0.770000
8916,-0.049776,0.002928,1.038464,0.350000,-0.700000,0.630000
9030,-0.052216,-0.004392,1.037488,1.330000,-0.840000,1.680000
9148,-0.050752,0.010736,1.035536,0.420000,-0.700000,0.770000
9303,-0.047336,0.007808,1.044320,0.630000,-0.770000,0.770000
9421,-0.051240,0.007808,1.033584,0.490000,-0.770000,0.910000
9567,-0.049776,0.007320,1.036512,0.630000,-0.770000,0.910000
9736,-0.047336,0.005856,1.034560,0.420000,-0.700000,0.840000
9864,-0.120536,0.121512,1.020408,-0.770000,-0.770000,15.400000
9985,-0.171288,0.051240,1.021384,-4.550000,-0.910000,-1.610000
10103,-0.048312,-0.001952,1.040904,0.490000,-0.840000,0.770000
10264,-0.070760,-0.006344,1.036024,0.490000,-0.770000,-3.570000
10378,-0.081984,-0.011712,1.038952,0.490000,-0.840000,-7.420000
10508,-0.041968,-0.010736,1.041880,0.910000,-0.700000,-8.260000
10686,-0.052216,-0.001952,1.041880,0.490000,-0.840000,0.840000
10806,-0.047336,-0.002928,1.037000,0.490000,-0.770000,0.980000
10916,-0.040504,-0.003904,1.038464,0.910000,-0.700000,0.980000
11066,-0.052216,-0.008784,1.031144,0.910000,-0.770000,1.050000
11185,-0.044408,-0.006344,1.035048,0.840000,-0.700000,1.400000
11305,-0.050752,-0.000976,1.038952,0.700000,-0.700000,1.120000
11432,-0.050752,0.005856,1.040904,0.630000,-0.700000,0.770000
11591,-0.051240,0.001952,1.039440,0.490000,-0.840000,0.770000
11729,-0.049776,-0.001464,1.036024,0.490000,-0.840000,0.770000
11841,-0.050752,0.001464,1.038464,0.560000,-0.770000,0.840000
12007,-0.049776,0.002928,1.038952,0.420000,-0.770000,0.910000
12117,-0.053680,0.000488,1.041880,0.420000,-0.770000,0.770000
12249,-0.052216,-0.000488,1.037976,0.490000,-0.770000,0.770000
12413,-0.049288,0.000976,1.038952,0.490000,-0.770000,0.700000
12525,-0.050264,0.001952,1.036024,0.630000,-0.840000,0.840000
12643,-0.052704,-0.001952,1.034560,0.490000,-0.770000,0.840000
12840,-0.048312,-0.000976,1.038464,0.490000,-0.840000,0.840000
12955,-0.050264,0.000000,1.038952,0.490000,-0.770000,0.700000
13078,-0.051240,-0.000976,1.036512,0.490000,-0.700000,0.770000
13193,-0.049776,-0.000976,1.038464,0.420000,-0.770000,0.840000
13359,-0.050264,-0.003416,1.040416,-0.140000,-1.050000,0.840000
13480,-0.052216,-0.002928,1.035048,0.560000,-0.700000,0.840000
13608,-0.049288,-0.001952,1.038464,0.420000,-0.840000,0.840000
13783,-0.049288,-0.004880,1.037488,0.490000,-0.840000,0.980000
13929,-0.049288,-0.003416,1.038952,0.000000,-0.840000,0.770000
14053,-0.049288,-0.001464,1.035536,0.560000,-0.770000,0.770000
14210,-0.048800,-0.000976,1.037976,0.490000,-0.700000,0.770000
14342,-0.051240,-0.000488,1.040904,-0.420000,-0.910000,0.770000
14474,-0.049288,-0.008784,1.041880,-5.530000,-0.560000,0.490000
14598,-0.049776,-0.019032,1.033584,-0.910000,-0.700000,0.630000
14768,-0.049288,-0.042944,1.030656,-15.050000,-0.560000,0.350000
14889,-0.052216,-0.057096,1.035048,-7.420000,-0.630000,0.630000
15032,-0.048800,-0.071736,1.039440,-3.220000,-0.700000,0.770000
15213,-0.049776,-0.095160,1.029192,-3.150000,-0.700000,0.770000
15331,-0.051728,-0.104920,1.039440,-7.560000,-0.630000,0.560000
15456,-0.050752,-0.128832,1.018944,-5.740000,-0.700000,0.560000
15618,-0.049776,-0.143960,1.031144,-10.220000,-0.630000,0.630000
15754,-0.050264,-0.163480,1.022848,-4.480000,-0.700000,0.560000
15870,-0.050752,-0.176168,1.016992,-4.690000,-0.700000,0.560000
15990,-0.050264,-0.178608,1.026752,-6.580000,-0.490000,0.630000
16140,-0.052216,-0.212280,1.006744,-12.740000,-0.490000,0.280000
16260,-0.051728,-0.225944,1.010648,-2.520000,-0.560000,0.630000
16386,-0.053680,-0.229360,1.013576,-7.630000,-0.280000,0.140000
16555,-0.053680,-0.241560,1.016016,-1.540000,-0.700000,0.980000
16668,-0.053192,-0.241560,1.022360,0.910000,-0.910000,1.120000
16796,-0.053192,-0.253272,1.016992,-6.370000,-0.350000,0.420000
16907,-0.054168,-0.264984,1.004304,-6.720000,-0.770000,0.350000
17109,-0.047824,-0.284504,0.999424,-7.490000,-0.980000,0.420000
17226,-0.048312,-0.304024,0.994544,-5.530000,-0.840000,0.630000
17352,-0.047336,-0.320616,0.981856,-5.740000,-0.700000,0.490000
17517,-0.049288,-0.338672,0.989664,-9.450000,-0.630000,0.350000
17639,-0.049776,-0.352336,0.982832,-7.490000,-0.700000,0.490000
17756,-0.049776,-0.365512,0.984296,-5.670000,-0.910000,0.630000
17934,-0.051240,-0.394792,0.957456,-6.090000,-0.560000,0.560000
18060,-0.048312,-0.406992,0.950136,-3.500000,-0.700000,0.560000
18205,-0.049288,-0.414800,0.957944,-9.660000,-0.560000,0.490000
18378,-0.049288,-0.447008,0.928176,-4.550000,-0.770000,0.700000
18499,-0.047824,-0.456768,0.936960,-7.350000,-0.770000,0.700000
18613,-0.050752,-0.472384,0.935496,-14.070000,-0.420000,0.350000
18726,-0.050264,-0.495320,0.924272,-9.870000,-0.490000,0.490000
18892,-0.047824,-0.515328,0.917440,-20.650000,0.000000,0.070000
19008,-0.047824,-0.522648,0.928664,-0.910000,-0.770000,0.910000
19125,-0.046360,-0.555344,0.882304,-3.010000,-0.910000,0.840000
19302,-0.044408,-0.562664,0.875472,-5.600000,-0.630000,0.420000
19415,-0.046848,-0.575352,0.861320,-2.520000,-0.770000,0.700000
19530,-0.047824,-0.587552,0.845216,-3.080000,-0.770000,0.840000
19687,-0.046848,-0.593408,0.849608,-6.090000,-0.700000,0.630000
19815,-0.044408,-0.615368,0.827160,-4.620000,-0.770000,0.560000
19932,-0.045384,-0.620248,0.835456,-3.010000,-0.700000,0.700000
20043,-0.047336,-0.622200,0.834968,-8.120000,-0.560000,0.420000
20202,-0.047824,-0.636840,0.819352,-5.810000,-0.770000,0.490000
20342,-0.046360,-0.647088,0.801784,-6.510000,-0.630000,0.420000
20464,-0.044896,-0.654408,0.795440,-4.060000,-0.700000,0.630000
20630,-0.042944,-0.669536,0.784704,-2.590000,-0.910000,0.700000
20753,-0.043920,-0.669048,0.793000,-7.210000,-0.700000,0.630000
20883,-0.052216,-0.665632,0.801784,-11.200000,-1.120000,0.210000
21036,-0.047336,-0.681248,0.788120,-7.350000,-0.700000,0.560000
21148,-0.045384,-0.708088,0.743712,-7.700000,-0.630000,0.350000
21264,-0.041968,-0.707600,0.771528,-2.520000,-0.840000,0.700000
21440,-0.050264,-0.708576,0.749080,-15.750000,-0.420000,0.140000
21558,-0.041968,-0.740784,0.718824,-7.980000,-0.630000,0.490000
21682,-0.041968,-0.757864,0.708088,-8.260000,-0.840000,0.560000
21799,-0.041480,-0.782264,0.659288,-4.200000,-0.490000,0.770000
21960,-0.044896,-0.778848,0.703696,-11.760000,-0.700000,0.420000
22104,-0.040016,-0.794952,0.663192,-11.900000,0.070000,0.070000
22235,-0.044896,-0.817400,0.633424,-12.670000,1.050000,-0.560000
22402,-0.037576,-0.850584,0.575352,-9.170000,1.820000,-1.120000
22550,-0.033184,-0.847168,0.579744,-2.520000,-1.120000,0.770000
22665,-0.036600,-0.872056,0.536312,-6.020000,-0.910000,0.560000
22831,-0.034160,-0.873520,0.556320,-26.600000,-0.910000,-0.210000
22960,-0.030256,-0.911096,0.462624,-8.260000,-1.330000,0.560000
23078,-0.033672,-0.903776,0.483608,-12.390000,-0.980000,0.280000
23198,-0.029768,-0.921344,0.455792,-11.410000,-0.560000,0.350000
23368,-0.028792,-0.949160,0.383080,-14.840000,-0.560000,0.280000
23503,-0.023424,-0.947208,0.399184,-10.500000,-0.910000,0.420000
23629,-0.023912,-0.961360,0.347944,-18.129999,-0.560000,0.140000
23792,-0.023424,-0.972584,0.296216,-12.810000,-1.050000,0.420000
23904,-0.025376,-0.974536,0.289384,-15.610000,-0.910000,0.140000
24023,-0.021472,-0.983808,0.244000,-7.700000,-0.350000,0.630000
24192,-0.022448,-0.984784,0.239608,-11.760000,-0.630000,0.490000
24311,-0.020984,-0.996984,0.191784,-16.660000,-0.770000,0.140000
24430,-0.018544,-1.002840,0.164456,-17.290001,-0.770000,0.070000
24619,-0.016104,-1.009184,0.106872,-12.600000,-0.560000,0.140000
24736,-0.015616,-1.013088,0.076616,-7.560000,-0.770000,0.490000
24859,-0.012688,-1.010648,0.078080,2.660000,-0.770000,0.840000
24974,-0.016104,-1.007720,0.086376,-2.870000,-0.770000,0.700000
25136,-0.012688,-1.010648,0.063928,-2.940000,-0.700000,0.700000
25247,-0.012688,-1.013088,0.046360,-0.980000,-0.490000,0.630000
25368,-0.012688,-1.008696,0.068320,0.280000,-0.910000,0.770000
25528,-0.014640,-1.008696,0.059536,-2.380000,-0.770000,0.700000
25673,-0.012688,-1.008696,0.074176,-1.750000,-0.700000,0.630000
25793,-0.011712,-1.009672,0.049776,1.610000,-0.770000,0.910000
25971,-0.014152,-1.005768,0.062952,-1.120000,-0.840000,0.700000
26087,-0.011712,-1.007720,0.059048,-0.210000,-0.700000,0.840000
26209,-0.015128,-1.011136,0.063928,0.630000,-0.770000,0.910000
26322,-0.015128,-1.009672,0.060512,-0.420000,-0.910000,0.770000
26492,-0.014640,-1.008696,0.068808,-0.700000,-0.910000,0.770000
26612,-0.015616,-1.008696,0.066368,0.770000,-0.980000,0.630000
26752,-0.014152,-1.015040,0.036600,-3.990000,-0.770000,0.700000
26920,-0.013176,-1.010648,0.021960,-1.890000,-0.700000,0.700000
27042,-0.011224,-1.013088,0.015128,0.210000,-0.980000,0.770000
27153,-0.015616,-1.011624,0.017080,3.080000,-1.050000,0.840000
27319,-0.011712,-1.012600,0.020008,-0.700000,-0.700000,0.840000
27427,-0.010248,-1.010648,0.021472,7.490000,-0.910000,0.980000
27542,-0.014152,-1.013088,0.024400,-0.490000,-0.490000,0.770000
27667,-0.012200,-1.012112,0.019520,-1.190000,-0.630000,0.700000
27869,-0.012200,-1.009672,0.029768,4.970000,-0.840000,1.050000
